SMITH,WHITE
JOHNSON,WHITE
WILLIAMS,WHITE
BROWN,WHITE
JONES,WHITE
MILLER,WHITE
DAVIS,WHITE
GARCIA,HISPANIC
RODRIGUEZ,HISPANIC
WILSON,WHITE
MARTINEZ,HISPANIC
ANDERSON,WHITE
TAYLOR,WHITE
THOMAS,WHITE
HERNANDEZ,HISPANIC
MOORE,WHITE
MARTIN,WHITE
JACKSON,BLACK
THOMPSON,WHITE
WHITE,WHITE
LOPEZ,HISPANIC
LEE,WHITE
GONZALEZ,HISPANIC
HARRIS,WHITE
CLARK,WHITE
LEWIS,WHITE
ROBINSON,WHITE
WALKER,WHITE
PEREZ,HISPANIC
HALL,WHITE
YOUNG,WHITE
ALLEN,WHITE
SANCHEZ,HISPANIC
WRIGHT,WHITE
KING,WHITE
SCOTT,WHITE
GREEN,WHITE
BAKER,WHITE
ADAMS,WHITE
NELSON,WHITE
HILL,WHITE
RAMIREZ,HISPANIC
CAMPBELL,WHITE
MITCHELL,WHITE
ROBERTS,WHITE
CARTER,WHITE
PHILLIPS,WHITE
EVANS,WHITE
TURNER,WHITE
TORRES,HISPANIC
PARKER,WHITE
COLLINS,WHITE
EDWARDS,WHITE
STEWART,WHITE
FLORES,HISPANIC
MORRIS,WHITE
NGUYEN,ASIAN
MURPHY,WHITE
RIVERA,HISPANIC
COOK,WHITE
ROGERS,WHITE
MORGAN,WHITE
PETERSON,WHITE
COOPER,WHITE
REED,WHITE
BAILEY,WHITE
BELL,WHITE
GOMEZ,HISPANIC
KELLY,WHITE
HOWARD,WHITE
WARD,WHITE
COX,WHITE
DIAZ,HISPANIC
RICHARDSON,WHITE
WOOD,WHITE
WATSON,WHITE
BROOKS,WHITE
BENNETT,WHITE
GRAY,WHITE
JAMES,WHITE
REYES,HISPANIC
CRUZ,HISPANIC
HUGHES,WHITE
PRICE,WHITE
MYERS,WHITE
LONG,WHITE
FOSTER,WHITE
SANDERS,WHITE
ROSS,WHITE
MORALES,HISPANIC
POWELL,WHITE
SULLIVAN,WHITE
RUSSELL,WHITE
ORTIZ,HISPANIC
JENKINS,WHITE
GUTIERREZ,HISPANIC
PERRY,WHITE
BUTLER,WHITE
BARNES,WHITE
FISHER,WHITE
HENDERSON,WHITE
COLEMAN,WHITE
SIMMONS,WHITE
PATTERSON,WHITE
JORDAN,WHITE
REYNOLDS,WHITE
HAMILTON,WHITE
GRAHAM,WHITE
KIM,ASIAN
GONZALES,HISPANIC
ALEXANDER,WHITE
RAMOS,HISPANIC
WALLACE,WHITE
GRIFFIN,WHITE
WEST,WHITE
COLE,WHITE
HAYES,WHITE
CHAVEZ,HISPANIC
GIBSON,WHITE
BRYANT,WHITE
ELLIS,WHITE
STEVENS,WHITE
MURRAY,WHITE
FORD,WHITE
MARSHALL,WHITE
OWENS,WHITE
MCDONALD,WHITE
HARRISON,WHITE
RUIZ,HISPANIC
KENNEDY,WHITE
WELLS,WHITE
ALVAREZ,HISPANIC
WOODS,WHITE
MENDOZA,HISPANIC
CASTILLO,HISPANIC
OLSON,WHITE
WEBB,WHITE
WASHINGTON,BLACK
TUCKER,WHITE
FREEMAN,WHITE
BURNS,WHITE
HENRY,WHITE
VASQUEZ,HISPANIC
SNYDER,WHITE
SIMPSON,WHITE
CRAWFORD,WHITE
JIMENEZ,HISPANIC
PORTER,WHITE
MASON,WHITE
SHAW,WHITE
GORDON,WHITE
WAGNER,WHITE
HUNTER,WHITE
ROMERO,HISPANIC
HICKS,WHITE
DIXON,WHITE
HUNT,WHITE
PALMER,WHITE
ROBERTSON,WHITE
BLACK,WHITE
HOLMES,WHITE
STONE,WHITE
MEYER,WHITE
BOYD,WHITE
MILLS,WHITE
WARREN,WHITE
FOX,WHITE
ROSE,WHITE
RICE,WHITE
MORENO,HISPANIC
SCHMIDT,WHITE
PATEL,ASIAN
FERGUSON,WHITE
NICHOLS,WHITE
HERRERA,HISPANIC
MEDINA,HISPANIC
RYAN,WHITE
FERNANDEZ,HISPANIC
WEAVER,WHITE
DANIELS,WHITE
STEPHENS,WHITE
GARDNER,WHITE
PAYNE,WHITE
KELLEY,WHITE
DUNN,WHITE
PIERCE,WHITE
ARNOLD,WHITE
TRAN,ASIAN
SPENCER,WHITE
PETERS,WHITE
HAWKINS,WHITE
GRANT,WHITE
HANSEN,WHITE
CASTRO,HISPANIC
HOFFMAN,WHITE
HART,WHITE
ELLIOTT,WHITE
CUNNINGHAM,WHITE
KNIGHT,WHITE
BRADLEY,WHITE
CARROLL,WHITE
HUDSON,WHITE
DUNCAN,WHITE
